protein_per_100,water_use_product
14.1,402.3894468198227
11.4,366.9666666666666
3.1,585.261997232136
21.6,591.5854863758294
7.3,2408.554035450097
25.6,852.8535670699605
0.0,530.7506925207757
0.0,18.400008750466107
0.0,859.954239653542
4.7,57.32310418414442
8.6,6.400000257482742
0.0,1180.45
16.7,1333.1801496541011
8.0,214.6106543469297
8.5,37.50771014518092
16.3,1669.896864405637
17.6,660.0
1.1,229.4891860465423
29.3,802.8660172243399
20.3,1180.45
27.4,771.1739375970633
1.0,12.802947154471545
15.1,567.0571428571428
8.7,1464.9874999999995
7.9,706.0400000000001
0.6,10.65
0.0,174.01662049861494
3.2,180.1
1.3,75.78279906128589
1.9,12.580178174559924
2.1,838.7556216953993
5.7,565.6873099359029
0.9,276.5666666666666
7.5,26.070299376511095
3.9,258.5035118923209
7.2,2356.8492994982544
18.0,1204.2990258365098
22.9,801.3
3.0,285.175
8.8,459.0487819615831
13.0,797.0098832009954
5.9,830.7600000000002
3.7,251.5942337172622
0.5,5.288981288981288
3.3,628.2
10.2,511.6528469832976
1.7,173.3554612265771
18.9,1007.9
5.3,628.2
15.6,1189.5093886771142
16.7,448.85
10.8,147.79112960117283
17.7,603.363048000705
11.0,65.44970866560806
0.7,414.74505821280457
10.9,707.49245767644
12.5,1217.2999999999995
16.0,448.85
2.2,1152.383333333333
13.1,1282.4728222504589
0.0,298.1
10.1,1055.1011398916603
7.5,579.5085719626824
9.2,576.3795404167264
15.7,1536.4537824578902
4.8,153.2666666666666
4.5,1538.328689209075
2.9,59.1
17.0,5605.2
19.7,526.0885218127911
22.5,660.0
20.1,842.6200000000001
23.6,2248.4
0.5,450.98548751432565
19.0,1094.4331497952844
24.7,1379.176480619828
25.3,705.6769730340251
0.0,215.7
0.0,215.70000000002315
12.1,488.6666666666665
1.4,1707.2088354360626
3.6,622.8
0.4,150.89900362318843
12.0,558.3192291650473
6.8,362.50000000000006
9.4,359.43066784544783
16.8,798.6404066073698
32.2,885.265424255259
18.5,2162.673655910023
0.0,17.220521010051616
6.2,658.2794711593746
11.0,4527.576568913234
17.0,628.2
0.5,3.027027027027027
27.0,5605.2
25.9,1762.0796272765774
8.4,1615.533333333333
1.1,14.3
10.6,1525.372167597441
24.0,572.5333333333333
28.1,728.9178314273612
2.5,814.0
28.7,559.5166666666665
15.1,1322.7987607321304
5.0,1107.654768944515
11.6,1329.3666666666666
3.4,2045.9193628238716
2.8,222.76334786356583
5.3,240.5797745549457
3.0,628.2
1.6,59.1
4.5,419.6
3.0,628.2
1.8,554.9437618185623
1.0,67.5970392819676
25.0,5605.2
5.2,628.2
11.2,774.275
25.2,670.9543181155063
22.7,2315.8666666666663
12.7,1373.409842157943
6.5,317.15
0.1,2248.399999999684
11.8,1549.596817662889
11.0,1473.030812186409
26.0,1745.388382985767
13.1,1491.633333333333
18.3,627.8071428571428
2.8,628.2
8.1,977.2958477714328
9.3,237.7
10.2,544.9726906506199
18.7,148.384201724778
9.0,886.3213887225438
0.9,341.72
9.8,178.66795024591107
15.3,448.85
0.2,272.579026565906
0.4,151.64648609898794
0.0,1795.8
22.0,4932.940394298672
3.8,180.1
20.5,822.3678534544741
1.0,15.94329268292683
19.9,660.0
22.4,1124.4
0.5,1499.971289494635
4.9,1284.11448040526
27.3,4812.46134597698
3.2,430.691135734072
11.9,714.546478923457
18.6,1914.432885253396
17.2,167.9039261468055
5.3,48.83079245316004
9.5,876.1690073624511
0.1,237.69999944048223
1.3,14.3
4.0,89.64106827150157
1.5,232.65
23.7,5605.2
1.2,14.3
11.5,1545.8593195066985
2.9,62.57064001642999
19.3,387.8940107637498
17.6,665.5336721728081
18.7,148.384201724778
18.0,1555.0247070450373
5.3,271.5466688499647
26.9,21.491489452666528
0.2,152.2584541062802
9.6,518.3952634131239
48.97,1795.8
0.0,573.8897954958704
3.4,628.2
0.5,5.022869022869023
24.0,705.1442669314318
2.9,51.22234727578
3.1,301.37462004028885
0.8,25.9
0.6,591.7166556623623
22.9,801.3
0.6,319.425
0.0,16.512828365802918
13.7,2620.725226889984
6.1,317.15
9.6,577.7
1.2,570.3882561445413
8.0,628.2
6.1,1200.3845076628213
6.1,638.9603703450506
8.1,1064.428315548052
24.0,4021.716682574056
5.03,545.1070637119113
18.5,1411.3539460680502
6.1,276.84779777905817
4.1,59.1
7.7,627.8857079154948
3.8,1164.6666666666663
12.0,1232.2852220518505
25.3,647.6628901008073
16.5,186.19578975779757
25.8,1726.1619370323308
